Facility ID,Office name,Profit center,Reporting Office Nam,Pincode,Head Office,Division,TALUK,PLI Facility ID,SOL ID,WEGCODE,SUBDIVISION,Mobile,Plant,Latitude Actual,Longitude Actual,Delivery/Non-Deliver,Reporting Office,PLANT PORTAL,Storage Location Nam,Facility Type,Plant Name,Storage Location,PORTAL_STR_LOC,Address1,Region,Region_1,Circle,City
BO29210102001,Devalapuram B.O,2922810201,Ambur S.O,635802,Gudiyattam H.O,Tirupattur Division,AMBUR,PW100103002,0,WEG21927,Rasipuram sub division,8428568747,T2A1,12.785572,78.706452,Delivery,Ambur S.O,,B021,BO,,,,"The BPM, Devalapuram B.O a/w Ambur S.O","Western Region, Coimbatore",,Tamil Nadu,TIRUPATHUR
BO29210102002,Gangapuram B.O,2922810202,Ambur S.O,635802,Gudiyattam H.O,Tirupattur Division,AMBUR,PW100103003,0,WEG21927,Vaniyambadi sub division,0,T2A1,12.800207,78.731722,Delivery,Ambur S.O,,B022,BO,,,,"The BPM, Gangapuram B.O a/w Ambur S.O -","Western Region, Coimbatore",,Tamil Nadu,TIRUPATHUR
BO29210102003,Kumaramangalam B.O,2922810203,Ambur S.O,635802,Gudiyattam H.O,Tirupattur Division,AMBUR,PW100103004,0,WEG21927,Vaniyambadi sub division,9003319425,T2A1,12.767119,78.680906,Delivery,Ambur S.O,,B023,BO,,,,"The BPM, Kumaramangalam B.O a/w Ambur SO","Western Region, Coimbatore",,Tamil Nadu,TIRUPATHUR
BO29210102004,Naickaneri B.O,2922810204,Ambur S.O,635802,Gudiyattam H.O,Tirupattur Division,AMBUR,PW100103005,0,WEG21927,Vaniyambadi sub division,8940562524,T2A1,12.762269,78.794685,Delivery,Ambur S.O,,B024,BO,,,,"The BPM, Naickaneri B.O a/w Ambur S.O","Western Region, Coimbatore",,Tamil Nadu,TIRUPATHUR
BO29210102005,Somalapuram B.O,2922810205,Ambur S.O,635802,Gudiyattam H.O,Tirupattur Division,AMBUR,PW100103006,0,WEG21927,Vaniyambadi sub division,9487631646,T2A1,12.809562,78.72659,Delivery,Ambur S.O,,B025,BO,,,,"The BPM, Somalapuram B.O a/w Ambur S.O","Western Region, Coimbatore",,Tamil Nadu,TIRUPATHUR
BO29210102006,Thennambattu B.O,2922810206,Ambur S.O,635802,Gudiyattam H.O,Tirupattur Division,AMBUR,PW100101020,0,WEG21927,Vaniyambadi sub division,7200486921,T2A1,12.752538,78.664073,Delivery,Ambur S.O,,B026,BO,,,,"The BPM, Thennambattu B.O a/w Ambur S.O","Western Region, Coimbatore",,Tamil Nadu,TIRUPATHUR
BO29210103001,Agraharam B.O,,Dharanampet S.O,632601,Gudiyattam H.O,Tirupattur Division,GUDIYATTAM,,0,,Vaniyambadi sub division,0,,,,,Dharanampet S.O,,,BO,,,,Agraharam B.O,"Western Region, Coimbatore",,Tamil Nadu,Vellore
BO29210103002,Erathangal B.O,,Dharanampet S.O,632601,Gudiyattam H.O,Tirupattur Division,GUDIYATTAM,,0,,#N/A,0,,,,,Dharanampet S.O,,,BO,,,,Erathangal B.O,"Western Region, Coimbatore",,Tamil Nadu,Vellore
BO29210103003,Kallapadi B.O,2922810301,Dharanampet S.O,632601,Gudiyattam H.O,Tirupattur Division,GUDIYATTAM,PW100101005,0,WEG21929,#N/A,7094375729,T2A1,13.000936,78.90376,Delivery,Dharanampet S.O,,B033,BO,,,,"The BPM, Kallapadi B.O a/w Dharanampet S","Western Region, Coimbatore",,Tamil Nadu,VELLORE
BO29210103004,Kottamitta B.O,2922810302,Dharanampet S.O,632601,Gudiyattam H.O,Tirupattur Division,GUDIYATHAM,PW100101008,0,WEG21929,Gudiyattam sub division,9843637525,T2A1,13.037035,78.855,Delivery,Dharanampet S.O,,B034,BO,,,,"The BPM, Kottamitta B.O a/w Dharanampet","Western Region, Coimbatore",,Tamil Nadu,VELLORE
BO29210103005,Modikuppam B.O,2922810303,Dharanampet S.O,632601,Gudiyattam H.O,Tirupattur Division,GUDIYATTAM,PW100101009,0,WEG21929,Gudiyattam sub division,9489546309,T2A1,13.029149,78.864334,Delivery,Dharanampet S.O,,B035,BO,,,,"The BPM, Modikuppam B.O a/w Dharanampet","Western Region, Coimbatore",,Tamil Nadu,VELLORE
BO29210103006,Mordhana B.O,,Dharanampet S.O,632601,Gudiyattam H.O,Tirupattur Division,GUDIYATTAM,,0,,Gudiyattam sub division,0,,,,,Dharanampet S.O,,,BO,,,,Mordhana B.O,"Western Region, Coimbatore",,Tamil Nadu,Vellore
BO29210103007,Pakkamvenkatapuram B.O,2922810304,Dharanampet S.O,632601,Gudiyattam H.O,Tirupattur Division,GUDIYATHAM,PW100101011,0,WEG21929,#N/A,9047705420,T2A1,12.985133,78.866395,Delivery,Dharanampet S.O,,B037,BO,,,,"The BPM, Pakkamvenkatapuram B.O a/w Dhar","Western Region, Coimbatore",,Tamil Nadu,VELLORE
BO29210103008,Ramalai B.O,2922810305,Dharanampet S.O,632601,Gudiyattam H.O,Tirupattur Division,GUDIYATTAM,PW100101013,0,WEG21929,#N/A,9345181495,T2A1,12.990783,78.886693,Delivery,Dharanampet S.O,,B038,BO,,,,"The BPM, Ramalai B.O a/w Dharanampet S.O","Western Region, Coimbatore",,Tamil Nadu,VELLORE
BO29210103009,Sempalli B.O,,Dharanampet S.O,632601,Gudiyattam H.O,Tirupattur Division,GUDIYATTAM,,0,,Gudiyattam sub division,0,,,,,Dharanampet S.O,,,BO,,,,Sempalli B.O,"Western Region, Coimbatore",,Tamil Nadu,Vellore
