Facility ID,Office name,Profit center,Reporting Office Nam,Pincode,Head Office,Division,TALUK,PLI Facility ID,SOL ID,WEGCODE,SUBDIVISION,Mobile,Plant,Latitude Actual,Longitude Actual,Delivery/Non-Deliver,Reporting Office,PLANT PORTAL,Storage Location Nam,Facility Type,Plant Name,Storage Location,PORTAL_STR_LOC,Address1,Region,Region_1,Circle,City
BO29103101003,Irumbuli BO,2912110102,Acharapakkam SO,603301,Chengalpattu HO,Chengalpattu Division,CHEYUR,PM050103004,0,WEG21325,Madurantakam Sub Division,9626122975,T131,12.3487,80.0031,Delivery,Acharapakkam SO,,B013,BO,,,,"Bajanai Koil Street, Irumbuli Village",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103101004,Kattugudalur BO,2912110103,Acharapakkam SO,603301,Chengalpattu HO,Chengalpattu Division,MADURANTAKAM,PM050103005,0,WEG21325,Madurantakam Sub Division,9787691801,T131,12.5102,79.8849,Delivery,Acharapakkam SO,,B014,BO,,,,"Vinayagar Koil Street, Kattukudalur",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103101005,Kayapakkam BO,2912110104,Acharapakkam SO,603301,Chengalpattu HO,Chengalpattu Division,MADURANTAKAM,PM050103006,0,WEG21325,Tiruchengodu Sub Division,7708486809,T131,12.5102,79.8892,Delivery,Acharapakkam SO,,B015,BO,,,,"Snagutheertha Vinayagar Koil Street,",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103101006,Parukkal BO,2912110105,Acharapakkam SO,603301,Chengalpattu HO,Chengalpattu Division,MADURANTAKA,PM050103007,0,WEG21325,Madurantakam Sub Division,7708928273,T131,12.43045,79.81005,Delivery,Acharapakkam SO,,B016,BO,,,,Parukkal Village,Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103101007,Seethapuram BO,2912110106,Acharapakkam SO,603301,Chengalpattu HO,Chengalpattu Division,MADURANTAKAM,PM050103088,0,WEG21325,Madurantakam Sub Division,9176450187,T131,12.5102276,79.8849244,Delivery,Acharapakkam SO,,B017,BO,,,,"Reddiyar Street, Seethapuram",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103101008,Acharapakkam R.S. B.O,,Acharapakkam SO,603301,Chengalpattu HO,Chengalpattu Division,,,0,,Madurantakam Sub Division,0,,,,,Acharapakkam SO,,,BO,,,,Acharapakkam R.S.,Chennai City Region,,Tamil Nadu,Chengalpattu
BO29103104001,Palur BO,2912110401,Athurchengalpattu SO,603101,Chengalpattu HO,Chengalpattu Division,CHENGALPATTU,PM050102002,0,WEG08669,#N/A,7373611751,T131,12.760428,79.915799,Delivery,Athurchengalpattu SO,,B041,BO,,,,"Big Street, Palur Village",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103104002,Reddipalayam BO,2912110402,Athurchengalpattu SO,603101,Chengalpattu HO,Chengalpattu Division,CHENGALPATT,PM050102003,0,WEG08669,Chengalpattu West Sub Division,9976855822,T131,12.6840072,79.9833363,Delivery,Athurchengalpattu SO,,B042,BO,,,,"41, Kalaignar Street, Reddipalayam",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103104003,Thimmavaram BO,2912110403,Athurchengalpattu SO,603101,Chengalpattu HO,Chengalpattu Division,CHENGALPATTU,PM050102004,0,WEG08669,Chengalpattu West Sub Division,9942167888,T131,12.6840062,79.9833373,Delivery,Athurchengalpattu SO,,B043,BO,,,,"19/4, KCM Road, Thimmavaram",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103104004,Villiambakkam BO,2912110404,Athurchengalpattu SO,603101,Chengalpattu HO,Chengalpattu Division,CHENGALPATTU,PM050102005,0,WEG08669,Chengalpattu West Sub Division,9790690308,T131,12.7522646,79.9319922,Delivery,Athurchengalpattu SO,,B044,BO,,,,"375/19/2, Railway Station Road",Chennai City Region,,Tamil Nadu,CHENGALPATTU
